"product_key","product_name","category","subcategory","cost","last_sale_date","recency_in_months","product_segment","lifespan","total_orders","total_sales","total_quantity","total_customers","avg_selling_price","avg_order_revenue","avg_monthly_revenue"
14,"Road-150 Red- 62","Bikes","Road Bikes",2171,"2011-12-28",168,"High-Performer",11,336,1202208.0,336.0,336,3578.0,3578.0,109291.6364
15,"Road-150 Red- 44","Bikes","Road Bikes",2171,"2011-12-28",168,"High-Performer",11,281,1005418.0,281.0,281,3578.0,3578.0,91401.6364
16,"Road-150 Red- 48","Bikes","Road Bikes",2171,"2011-12-28",168,"High-Performer",11,337,1205786.0,337.0,337,3578.0,3578.0,109616.9091
17,"Road-150 Red- 52","Bikes","Road Bikes",2171,"2011-12-27",168,"High-Performer",11,302,1080556.0,302.0,302,3578.0,3578.0,98232.3636
18,"Road-150 Red- 56","Bikes","Road Bikes",2171,"2011-12-27",168,"High-Performer",11,295,1055510.0,295.0,295,3578.0,3578.0,95955.4545
24,"Mountain-100 Silver- 38","Bikes","Mountain Bikes",1912,"2011-12-22",168,"High-Performer",11,58,197200.0,58.0,58,3400.0,3400.0,17927.2727
25,"Mountain-100 Silver- 42","Bikes","Mountain Bikes",1912,"2011-12-28",168,"High-Performer",11,42,142800.0,42.0,42,3400.0,3400.0,12981.8182
26,"Mountain-100 Silver- 44","Bikes","Mountain Bikes",1912,"2011-12-12",169,"High-Performer",11,49,166600.0,49.0,49,3400.0,3400.0,15145.4545
27,"Mountain-100 Silver- 48","Bikes","Mountain Bikes",1912,"2011-12-23",168,"High-Performer",11,36,122400.0,36.0,36,3400.0,3400.0,11127.2727
28,"Mountain-100 Black- 38","Bikes","Mountain Bikes",1898,"2011-12-27",168,"High-Performer",11,49,165375.0,49.0,49,3375.0,3375.0,15034.0909
29,"Mountain-100 Black- 42","Bikes","Mountain Bikes",1898,"2011-12-27",168,"High-Performer",11,45,151875.0,45.0,45,3375.0,3375.0,13806.8182
30,"Mountain-100 Black- 44","Bikes","Mountain Bikes",1898,"2011-12-21",168,"High-Performer",11,60,202500.0,60.0,60,3375.0,3375.0,18409.0909
31,"Mountain-100 Black- 48","Bikes","Mountain Bikes",1898,"2011-12-26",168,"High-Performer",11,57,192375.0,57.0,57,3375.0,3375.0,17488.6364
38,"Road-650 Red- 58","Bikes","Road Bikes",487,"2012-12-18",156,"High-Performer",22,74,56346.0,74.0,74,761.4,761.4324,2561.1818
39,"Road-650 Red- 60","Bikes","Road Bikes",487,"2012-12-23",156,"Mid-Range",22,53,40071.0,53.0,53,756.1,756.0566,1821.4091
40,"Road-650 Red- 62","Bikes","Road Bikes",487,"2012-12-05",157,"High-Performer",22,75,57381.0,75.0,75,765.1,765.08,2608.2273
41,"Road-650 Red- 44","Bikes","Road Bikes",487,"2012-12-25",156,"High-Performer",23,72,54528.0,72.0,72,757.3,757.3333,2370.7826
42,"Road-650 Red- 48","Bikes","Road Bikes",487,"2012-12-27",156,"High-Performer",23,88,66720.0,88.0,88,758.2,758.1818,2900.8696
43,"Road-650 Red- 52","Bikes","Road Bikes",487,"2012-12-21",156,"Mid-Range",23,61,46083.0,61.0,61,755.5,755.459,2003.6087
44,"Road-650 Black- 58","Bikes","Road Bikes",487,"2012-12-18",156,"High-Performer",23,76,57996.0,76.0,76,763.1,763.1053,2521.5652
45,"Road-650 Black- 60","Bikes","Road Bikes",487,"2012-12-12",157,"High-Performer",22,76,57156.0,76.0,76,752.1,752.0526,2598.0
46,"Road-650 Black- 62","Bikes","Road Bikes",487,"2012-12-18",156,"Mid-Range",23,65,49047.0,65.0,65,754.6,754.5692,2132.4783
47,"Road-650 Black- 44","Bikes","Road Bikes",487,"2012-12-26",156,"Mid-Range",23,63,47565.0,63.0,63,755.0,755.0,2068.0435
48,"Road-650 Black- 48","Bikes","Road Bikes",487,"2012-12-25",156,"Mid-Range",20,60,45552.0,60.0,60,759.2,759.2,2277.6
49,"Road-650 Black- 52","Bikes","Road Bikes",487,"2012-12-19",156,"High-Performer",22,89,66915.0,89.0,89,751.9,751.8539,3041.5909
54,"Road-250 Red- 44","Bikes","Road Bikes",1519,"2012-12-25",156,"High-Performer",11,144,351792.0,144.0,144,2443.0,2443.0,31981.0909
55,"Road-250 Red- 48","Bikes","Road Bikes",1519,"2012-12-24",156,"High-Performer",11,162,395766.0,162.0,162,2443.0,2443.0,35978.7273
56,"Road-250 Red- 52","Bikes","Road Bikes",1519,"2012-12-25",156,"High-Performer",11,133,324919.0,133.0,133,2443.0,2443.0,29538.0909
101,"Sport-100 Helmet- Red","Accessories","Helmets",13,"2014-01-28",143,"High-Performer",13,2230,78050.0,2230.0,2147,35.0,35.0,6003.8462
102,"Sport-100 Helmet- Black","Accessories","Helmets",13,"2014-01-28",143,"High-Performer",13,2085,72975.0,2085.0,2024,35.0,35.0,5613.4615
103,"Sport-100 Helmet- Blue","Accessories","Helmets",13,"2014-01-28",143,"High-Performer",13,2124,74375.0,2125.0,2049,35.0,35.0165,5721.1538
104,"AWC Logo Cap","Clothing","Caps",7,"2014-01-28",143,"Mid-Range",12,2190,19710.0,2190.0,2132,9.0,9.0,1642.5
105,"Long-Sleeve Logo Jersey- S","Clothing","Jerseys",38,"2014-01-28",143,"Mid-Range",12,429,21450.0,429.0,426,50.0,50.0,1787.5
106,"Long-Sleeve Logo Jersey- M","Clothing","Jerseys",38,"2014-01-28",143,"Mid-Range",13,442,22100.0,442.0,436,50.0,50.0,1700.0
